starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:58:32 2011	1322704712	0	275	275	275
Wed Nov 30 17:53:53 2011	1322704433	0	275	275	275
Wed Nov 30 17:54:10 2011	1322704450	0	276	276	276
Wed Nov 30 17:58:36 2011	1322704716	0	276	276	276
Wed Nov 30 17:53:59 2011	1322704439	0	276	276	276
Wed Nov 30 17:54:06 2011	1322704446	0	276	276	276
Wed Nov 30 17:58:36 2011	1322704716	0	276	276	276
Wed Nov 30 17:58:37 2011	1322704717	0	276	276	276
Wed Nov 30 17:53:58 2011	1322704438	0	276	276	276
Wed Nov 30 17:58:37 2011	1322704717	0	276	276	276
Wed Nov 30 17:54:10 2011	1322704450	0	276	276	276
Wed Nov 30 17:53:56 2011	1322704436	0	276	276	276
Wed Nov 30 17:58:46 2011	1322704726	0	276	276	276
Wed Nov 30 17:54:00 2011	1322704440	0	276	276	276
Wed Nov 30 17:58:37 2011	1322704717	0	276	276	276
Wed Nov 30 17:53:58 2011	1322704438	0	276	276	276
Wed Nov 30 17:58:36 2011	1322704716	0	277	277	277
Wed Nov 30 17:54:02 2011	1322704442	0	277	277	276
Wed Nov 30 17:53:55 2011	1322704435	0	277	277	277
Wed Nov 30 17:58:36 2011	1322704716	0	277	277	277
Wed Nov 30 17:58:41 2011	1322704721	0	277	277	277
Wed Nov 30 17:58:37 2011	1322704717	0	277	277	277
Wed Nov 30 17:58:38 2011	1322704718	0	277	277	277
Wed Nov 30 17:54:03 2011	1322704443	0	277	277	277
Wed Nov 30 17:53:58 2011	1322704438	0	277	277	277
Wed Nov 30 17:54:18 2011	1322704458	0	277	277	277
Wed Nov 30 17:54:13 2011	1322704453	0	277	277	277
Wed Nov 30 17:54:04 2011	1322704444	0	277	277	277
Wed Nov 30 17:58:36 2011	1322704716	0	277	277	277
Wed Nov 30 17:54:00 2011	1322704440	0	277	277	277
Wed Nov 30 17:54:00 2011	1322704440	0	277	277	277
Wed Nov 30 17:54:06 2011	1322704446	0	277	277	277
Wed Nov 30 17:58:44 2011	1322704724	0	278	278	278
Wed Nov 30 17:54:15 2011	1322704455	0	278	278	278
